"Family","Binomial","Toxicity & Dangerousness"
"","",""
"Elapidae","Acanthophis antarcticus","venomous bite – very dangerous"
"Elapidae","Acanthophis cryptamydros","venomous bite – very dangerous"
"Elapidae","Acanthophis hawkei","venomous bite – very dangerous"
"Elapidae","Acanthophis laevis","venomous bite – very dangerous"
"Elapidae","Acanthophis praelongus","venomous bite – very dangerous"
"Elapidae","Acanthophis pyrrhus","venomous bite – very dangerous"
"Elapidae","Acanthophis rugosus","venomous bite – very dangerous"
"Elapidae","Acanthophis wellsi","venomous bite – very dangerous"
"Xenodermidae","Achalinus ater","non-venomous"
"Xenodermidae","Achalinus dabieshanensis",""
"Xenodermidae","Achalinus damingensis",""
"Xenodermidae","Achalinus dehuaensis",""
"Xenodermidae","Achalinus emilyae",""
"Xenodermidae","Achalinus formosanus","non-venomous"
"Xenodermidae","Achalinus hainanus","non-venomous"
"Xenodermidae","Achalinus huangjietangi",""
"Xenodermidae","Achalinus hunanensis",""
"Xenodermidae","Achalinus jinggangensis","non-venomous"
"Xenodermidae","Achalinus juliani",""
"Xenodermidae","Achalinus meiguensis","non-venomous"
"Xenodermidae","Achalinus nanshanensis",""
"Xenodermidae","Achalinus niger","non-venomous"
"Xenodermidae","Achalinus ningshanensis",""
"Xenodermidae","Achalinus panzhihuaensis",""
"Xenodermidae","Achalinus pingbianensis",""
"Xenodermidae","Achalinus quangi",""
"Xenodermidae","Achalinus rufescens","non-venomous"
"Xenodermidae","Achalinus sheni",""
"Xenodermidae","Achalinus spinalis","non-venomous"
"Xenodermidae","Achalinus timi",""
"Xenodermidae","Achalinus tranganensis",""
"Xenodermidae","Achalinus vanhoensis",""
"Xenodermidae","Achalinus werneri","non-venomous"
"Xenodermidae","Achalinus yangdatongi",""
"Xenodermidae","Achalinus yunkaiensis",""
"Xenodermidae","Achalinus zugorum",""
"Boidae","Acrantophis dumerili",""
"Boidae","Acrantophis madagascariensis",""
"Acrochordidae","Acrochordus arafurae","non-venomous"
"Acrochordidae","Acrochordus granulatus","non-venomous"
"Acrochordidae","Acrochordus javanicus","non-venomous"
"Typhlopidae","Acutotyphlops banaorum","non-venomous"
"Typhlopidae","Acutotyphlops infralabialis","non-venomous"
"Typhlopidae","Acutotyphlops kunuaensis","non-venomous"
"Typhlopidae","Acutotyphlops solomonis","non-venomous"
"Typhlopidae","Acutotyphlops subocularis","non-venomous"
"Colubridae","Adelphicos daryi","unclear toxicity"
"Colubridae","Adelphicos ibarrorum","unclear toxicity"
"Colubridae","Adelphicos latifasciatum","unclear toxicity"
"Colubridae","Adelphicos newmanorum","unclear toxicity"
"Colubridae","Adelphicos nigrilatum","unclear toxicity"
"Colubridae","Adelphicos quadrivirgatum","unclear toxicity"
"Colubridae","Adelphicos sargii","unclear toxicity"
"Colubridae","Adelphicos veraepacis","unclear toxicity"
"Colubridae","Adelphicos visoninum","unclear toxicity"
"Colubridae","Adelphostigma occipitalis","unclear toxicity"
"Colubridae","Adelphostigma quadriocellata","unclear toxicity"
"Colubridae","Aeluroglena cucullata","unclear toxicity"
"Colubridae","Afronatrix anoscopus","unclear toxicity"
"Typhlopidae","Afrotyphlops angolensis","non-venomous"
"Typhlopidae","Afrotyphlops anomalus","non-venomous"
"Typhlopidae","Afrotyphlops bibronii","non-venomous"
"Typhlopidae","Afrotyphlops blanfordii","non-venomous"
"Typhlopidae","Afrotyphlops brevis","non-venomous"
"Typhlopidae","Afrotyphlops calabresii","non-venomous"
"Typhlopidae","Afrotyphlops chirioi",""
"Typhlopidae","Afrotyphlops congestus","non-venomous"
"Typhlopidae","Afrotyphlops cuneirostris","non-venomous"
"Typhlopidae","Afrotyphlops elegans","non-venomous"
"Typhlopidae","Afrotyphlops fornasinii","non-venomous"
"Typhlopidae","Afrotyphlops gierrai","non-venomous"
"Typhlopidae","Afrotyphlops kaimosae","non-venomous"
"Typhlopidae","Afrotyphlops liberiensis","non-venomous"
"Typhlopidae","Afrotyphlops lineolatus","non-venomous"
"Typhlopidae","Afrotyphlops mucruso","non-venomous"
"Typhlopidae","Afrotyphlops nanus","non-venomous"
"Typhlopidae","Afrotyphlops nigrocandidus","non-venomous"
"Typhlopidae","Afrotyphlops obtusus","non-venomous"
"Typhlopidae","Afrotyphlops platyrhynchus","non-venomous"
"Typhlopidae","Afrotyphlops punctatus","non-venomous"
"Typhlopidae","Afrotyphlops rondoensis","non-venomous"
"Typhlopidae","Afrotyphlops rouxestevae",""
"Typhlopidae","Afrotyphlops schlegelii","non-venomous"
"Typhlopidae","Afrotyphlops schmidti","non-venomous"
