Title ID,Title Type,Title Name,Collection,Collection 2,Collection 3,Series
T95,short story,The Face of Helen,The Mysterious Mr. Quin,NA,NA,Harley Quin
T77,short story,The Gypsy (The Gipsy),The Hound of Death and Other Stories,The Golden Ball and Other Stories,The Last Seance: Tales of the Supernatural,NA
T221,short story,The Harlequin Tea Set,Problem at Pollensa Bay and Other Stories,The Harlequin Tea Set and Other Stories,NA,Harley Quin
T182,short story,Accident,The Listerdale Mystery (short story collection),The Witness for the Prosecution and Other Stories,NA,NA
T63,short story,The House of Lurking Death,Partners in Crime,NA,NA,Tommy & Tuppence
T06,short story,The Cretan Bull,The Labours of Hercules (The Labors of Hercules),NA,NA,Hercule Poirot
T12,short story,The Thumb Mark of Saint Peter,The Thirteen Problems,NA,NA,Hercule Poirot
T37,short story,The Blue Geranium,The Thirteen Problems,The Last Seance: Tales of the Supernatural,NA,Miss Marple
T82,short story,The Strange Case of Sir Arthur Carmichael,The Hound of Death and Other Stories,The Golden Ball and Other Stories,The Last Seance: Tales of the Supernatural,NA
T13,short story,The Herb of Death,The Thirteen Problems,NA,NA,Miss Marple
T41,short story,The Adventure of the Egyptian Tomb,Poirot Investigates,The Last Seance: Tales of the Supernatural,NA,Hercule Poirot
T88,short story,The Coming of Mr. Quin,The Mysterious Mr. Quin,NA,NA,Harley Quin
T157,short story,The Affair at the Victory Ball,The Under Dog and Other Stories,NA,NA,Hercule Poirot
T180,short story,Philomel Cottage,The Listerdale Mystery (short story collection),The Witness for the Prosecution and Other Stories,The Last Seance: Tales of the Supernatural,NA
T47,short story,The Chocolate Box,Poirot's Early Cases (Hercule Poirot's Early Cases),NA,NA,Hercule Poirot
T203,short story,The Case of the Caretaker,Three Blind Mice and Other Stories,Miss Marple: The Complete Short Stories,NA,Miss Marple
T176,short story,Triangle at Rhodes,Murder in the Mews (collection),NA,NA,Hercule Poirot
T200,short story,A Case of Buried Treasure,Miss Marple's Final Cases,Three Blind Mice and Other Stories,NA,NA
T30,short story,A Christmas Tragedy,The Thirteen Problems,NA,NA,Miss Marple
T54,short story,A Fairy in the Flat,Partners in Crime,NA,NA,Tommy & Tuppence
T151,short story,A Fruitful Sunday,The Listerdale Mystery (short story collection),The Golden Ball and Other Stories,NA,NA
