setting,date,source,indicator_abbr,indicator_name,dimension,subgroup,estimate,se,ci_lb,ci_ub,population,flag,setting_average,iso3,favourable_indicator,indicator_scale,ordered_dimension,subgroup_order,reference_subgroup,whoreg6,wbincome2024,update,dataset_id
Afghanistan,2000,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,28.86547,NA,7.98749,58.29923,NA,NA,22.20898,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2000,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,15.11315,NA,3.99991,34.43029,NA,NA,22.20898,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2001,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,29.40441,NA,8.85137,57.75568,NA,NA,22.55174,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2001,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,15.24875,NA,4.38962,33.76678,NA,NA,22.55174,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2002,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,29.96832,NA,9.95826,56.93347,NA,NA,22.9117,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2002,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,15.39507,NA,4.80785,33.07742,NA,NA,22.9117,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2003,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,30.55703,NA,11.02944,56.37521,NA,NA,23.287960000000002,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2003,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,15.55046,NA,5.29423,32.27897,NA,NA,23.287960000000002,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2004,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,31.16979,NA,12.15681,55.82609,NA,NA,23.6802,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2004,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,15.71427,NA,5.69659,31.34825,NA,NA,23.6802,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2005,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,31.80742,NA,13.42718,55.32018,NA,NA,24.08497,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2005,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,15.88551,NA,6.09503,30.57412,NA,NA,24.08497,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2006,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,32.47095,NA,14.7205,54.96069,NA,NA,24.50688,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2006,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.06358,NA,6.56644,30.06573,NA,NA,24.50688,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2007,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,33.16118,NA,16.09309,54.546,NA,NA,24.96179,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2007,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.24745,NA,7.04746,29.66742,NA,NA,24.96179,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2008,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,33.8793,NA,17.37634,53.96153,NA,NA,25.43012,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2008,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.43603,NA,7.50105,29.08882,NA,NA,25.43012,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2009,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,34.62426,NA,18.70126,53.73047,NA,NA,25.90075,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2009,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.62818,NA,7.97767,28.61408,NA,NA,25.90075,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2010,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,35.39514,NA,19.95001,53.41965,NA,NA,26.38952,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2010,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,16.82329,NA,8.40373,28.1437,NA,NA,26.38952,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2011,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,36.19242,NA,21.40255,53.17732,NA,NA,26.88753,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2011,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.02345,NA,8.84539,27.88675,NA,NA,26.88753,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2012,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,37.01649,NA,22.50593,53.0906,NA,NA,27.40088,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2012,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.23242,NA,9.31002,27.61236,NA,NA,27.40088,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2013,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,37.86725,NA,23.73296,53.57695,NA,NA,27.93799,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2013,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Male,17.45348,NA,9.66057,27.64538,NA,NA,27.93799,AFG,0,100,0,0,1,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
Afghanistan,2014,WHO Global Health Observatory,NCD_PAA,Insufficient physical activity among adults aged 18+ years (age-standardized) (%),Sex,Female,38.74318,NA,24.84765,53.72549,NA,NA,28.49185,AFG,0,100,0,0,0,Eastern Mediterranean,Low income,20 September 2024,rep_gho_ncd
